目标词|目标词词性|左1分词|左1分词词性|左1分词词义及词义代码|左1分词词义及词义|左1分词词义代码|右1分词|右1分词词性|右1分词词义及词义代码|右1分词词义及词义|右1分词词义代码|左1分词|左1分词词性|左1分词词义及词义代码|左1分词词义及词义|左1分词词义代码|右1分词|右1分词词性|右1分词词义及词义代码|右1分词词义及词义|右1分词词义代码
儿女|ng|的|u|的_然_所(Kd01)|的_然_所|Kd01|，|w|null|null|null|堆|Ng|放_堆_叠_挂(Fa13)|放_堆_叠_挂|Fa13|但|c|都_只_不止_甚至(Ka07)|都_只_不止_甚至|Ka07
儿女|ng|的|u|的_然_所(Kd01)|的_然_所|Kd01|负责|v|担负_承揽_担任_兼职(Hj24)|担负_承揽_担任_兼职|Hj24|自己|r|自己_别人_某人(Aa05)|自己_别人_某人|Aa05|，|w|null|null|null
儿女|ng|做|v|做_施展_合作_尝试(Hj12)|做_施展_合作_尝试|Hj12|的|u|的_然_所(Kd01)|的_然_所|Kd01|，|w|null|null|null|常|d|经常_向来_本来(Ka10)|经常_向来_本来|Ka10
儿女|ng|null|null|null|null|null|赡养|v|收养_抚养_赡养(Hi38)|收养_抚养_赡养|Hi38|null|null|null|null|null|老人|n|老人_成年人_老小(Ab02)|老人_成年人_老小|Ab02
儿女|ng|留给|v|无关(Jd01)|无关|Jd01|精神|n|表面_实质_根本(Dd08)|表面_实质_根本|Dd08|她|r|它_什么(Ba10)|它_什么|Ba10|财富|n|精华_财富(Dg01)|精华_财富|Dg01
儿女|ng|给|v|给予_寄予_加以_冠以(Je05)|给予_寄予_加以_冠以|Je05|钱|n|货币_票据(Dj05)|货币_票据|Dj05|随便|ad|安分_放肆_散漫(Ee11)|安分_放肆_散漫|Ee11|。|w|null|null|null
儿女|ng|双|q|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|相继|d|亲自_挨次_一边_轮流(Ka24)|亲自_挨次_一边_轮流|Ka24|一|m|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|出生|v|生育_诞生_生长_繁殖(Ib01)|生育_诞生_生长_繁殖|Ib01
儿女|ng|与|p|出席_缺席(Hj20)|出席_缺席|Hj20|相依为命|i|亲密_疏远(Ed32)|亲密_疏远|Ed32|蓉珍|nr|null|null|null|，|w|null|null|null
儿女|ng|干|a|凉爽_闷气_干燥_潮湿_滋润(Eb27)|凉爽_闷气_干燥_潮湿_滋润|Eb27|们|k|人_人民_众人(Aa01)|人_人民_众人|Aa01|，|w|null|null|null|买|v|买_卖(He03)|买_卖|He03
儿女|ng|做|v|做_施展_合作_尝试(Hj12)|做_施展_合作_尝试|Hj12|的|u|的_然_所(Kd01)|的_然_所|Kd01|但|c|但是(Kc03)|但是|Kc03|把|p|师_盟(Ed60)|师_盟|Ed60
儿女|ng|得到|v|取得_达到_挽回(Je12)|取得_达到_挽回|Je12|的|u|的_然_所(Kd01)|的_然_所|Kd01|是|v|是_当做_比作(Ja01)|是_当做_比作|Ja01|体贴|vn|关怀_担心_放心(Gb19)|关怀_担心_放心|Gb19
儿女|ng|在|p|向_背_在(Kb01)|向_背_在|Kb01|的|u|的_然_所(Kd01)|的_然_所|Kd01|能|v|能干_无能(Ee17)|能干_无能|Ee17|温情|n|猛烈_尖锐_柔和(Ed15)|猛烈_尖锐_柔和|Ed15
儿女|ng|需要|v|欲望_需要(Df07)|欲望_需要|Df07|一个|m|数量单位(Dn08)|数量单位|Dn08|他们|r|他_他们(Aa04)|他_他们|Aa04|细腻|a|光滑_毛糙_精巧_粗糙(Eb33)|光滑_毛糙_精巧_粗糙|Eb33
儿女|ng|送|v|送别_告别(Hi06)|送别_告别|Hi06|null|null|null|null|null|年礼|n|null|null|null|null|null|null|null|null
儿女|ng|null|null|null|null|null|们|k|人_人民_众人(Aa01)|人_人民_众人|Aa01|null|null|null|null|null|最|d|最_至多_至少(Ka02)|最_至多_至少|Ka02
儿女|ng|妻子|n|夫_妻_夫妻(Ah08)|夫_妻_夫妻|Ah08|冒|v|捏造_冒充(Hj58)|捏造_冒充|Hj58|的|u|的_然_所(Kd01)|的_然_所|Kd01|着|u|下落_踪迹(Da23)|下落_踪迹|Da23
儿女|ng|个|q|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|，|w|null|null|null|4|m|null|null|null|日子|n|生命_生活(Da17)|生命_生活|Da17
儿女|ng|因|c|原因_结果(Db01)|原因_结果|Db01|们|k|人_人民_众人(Aa01)|人_人民_众人|Aa01|常|d|经常_向来_本来(Ka10)|经常_向来_本来|Ka10|“|w|null|null|null
儿女|ng|而|c|并且_况且(Kc02)|并且_况且|Kc02|又|d|半_概数_若干(Dn05)|半_概数_若干|Dn05|，|w|null|null|null|都|d|首都_省会(Di03)|首都_省会|Di03
儿女|ng|，|w|null|null|null|天真|a|老练_幼稚(Ee21)|老练_幼稚|Ee21|善解人意|l|null|null|null|活泼|a|固定_灵活_生动_平板(Ed14)|固定_灵活_生动_平板|Ed14
儿女|ng|双|q|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|带|v|绳_链_带(Bp25)|绳_链_带|Bp25|一|m|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|着|u|穿_戴_佩带(Fa18)|穿_戴_佩带|Fa18
儿女|ng|的|u|的_然_所(Kd01)|的_然_所|Kd01|们|k|人_人民_众人(Aa01)|人_人民_众人|Aa01|工作|v|工作_劳动(Hj11)|工作_劳动|Hj11|热泪盈眶|i|笑_哭(Ic01)|笑_哭|Ic01
儿女|ng|是|v|是_当做_比作(Ja01)|是_当做_比作|Ja01|们|k|人_人民_众人(Aa01)|人_人民_众人|Aa01|，|w|null|null|null|应该|v|应该_必须_无须(Gc03)|应该_必须_无须|Gc03
儿女|ng|的|u|的_然_所(Kd01)|的_然_所|Kd01|，|w|null|null|null|工作|v|工作_劳动(Hj11)|工作_劳动|Hj11|一定|d|杰出_异常_普通(Ed04)|杰出_异常_普通|Ed04
儿女|ng|是|v|是_当做_比作(Ja01)|是_当做_比作|Ja01|的|u|的_然_所(Kd01)|的_然_所|Kd01|，|w|null|null|null|天职|n|责任_负担(Di22)|责任_负担|Di22
